50	42	72	79	1
57	37	75	74	0
64	38	98	72	1
64	36	85	79	0
70	41	76	77	1
31	33	61	71	0
35	41	68	71	0
42	47	76	73	1
63	50	76	74	0
26	44	77	73	0
61	48	61	70	0
33	45	98	78	0
28	47	72	79	0
15	32	96	75	0
44	35	73	73	0
19	32	63	79	1
43	38	64	72	0
65	40	97	76	1
27	49	67	80	0
32	43	96	80	1
64	50	86	73	0
60	37	87	75	0
62	46	71	77	1
17	33	78	72	1
19	50	69	72	1
48	37	64	72	0
38	31	80	80	0
57	32	63	77	0
27	46	82	71	0
56	46	75	79	1
19	39	61	73	0
15	44	69	72	1
52	38	64	72	0
15	48	65	78	1
45	32	91	72	1
36	46	67	71	0
22	34	98	72	1
28	35	67	78	1
64	50	71	78	1
50	33	18	79	1
26	30	15	80	0
52	42	16	71	0
51	35	19	76	0
69	40	19	72	0
19	48	15	79	0
20	47	20	79	0
44	33	17	72	0
62	44	17	73	1
54	48	17	70	1
61	40	18	80	0
33	32	15	72	1
27	49	20	78	0
47	44	15	77	1
70	39	16	80	1
29	36	17	73	1
17	39	17	75	0
44	37	18	78	0
70	42	16	72	1
68	31	17	80	0
36	42	19	80	1
23	50	20	70	0
26	50	16	70	0
50	36	16	71	0
23	31	20	75	0
42	48	20	79	0
35	38	18	70	0
21	40	20	77	0
39	38	15	78	1
51	48	15	76	1
64	41	15	78	1
15	49	16	73	1
28	34	18	75	0
43	42	17	76	1
59	41	15	77	1
63	43	20	80	1
60	33	20	72	1
67	37	16	78	1
62	44	16	75	0
43	50	20	75	0
52	40	16	72	1
51	44	16	73	1
50	32	18	72	1
39	50	15	73	1
57	49	15	72	1
37	48	20	77	1
24	45	19	70	1
62	41	17	79	1
31	47	16	79	1
57	44	16	80	0
34	37	18	70	1
59	42	20	76	0
55	39	19	79	0
55	44	19	77	1
61	41	16	75	0
47	44	18	80	0
33	30	15	76	0
29	42	18	78	0
60	38	19	76	0
38	37	17	78	0
42	31	19	80	0
